Group Index,Label
0,Normal
1,Normal
2,Normal
3,Normal
4,Normal
5,Normal
6,Normal
7,Normal
8,Normal
9,Normal
10,Normal
11,Normal
12,Normal
13,Normal
14,Normal
15,Normal
16,Normal
17,Normal
18,Normal
19,Normal
20,Normal
21,Normal
22,Normal
23,Normal
24,Normal
25,Normal
26,Normal
27,Normal
28,Normal
29,Normal
30,Normal
31,Normal
32,Normal
33,Normal
34,Normal
35,Normal
36,Normal
37,Normal
38,Normal
39,Normal
40,Normal
41,Normal
42,Normal
43,Normal
44,Normal
45,Normal
46,Normal
47,Normal
48,Normal
49,Normal
50,Normal
51,Normal
52,Normal
53,Normal
54,Normal
55,Normal
56,Normal
57,Normal
58,Normal
59,Normal
60,Normal
61,Normal
62,Normal
63,Normal
64,Normal
65,Normal
66,Normal
67,Normal
68,Normal
69,Normal
70,Normal
71,Normal
72,Normal
73,Normal
74,Normal
75,Normal
76,Normal
77,Normal
78,Normal
79,Normal
80,Normal
81,Normal
82,Normal
83,Normal
84,Normal
85,Abnormal
86,Abnormal
87,Abnormal
88,Abnormal
89,Abnormal
90,Abnormal
91,Abnormal
92,Abnormal
93,Abnormal
94,Abnormal
95,Abnormal
96,Abnormal
97,Abnormal
98,Abnormal
99,Abnormal
100,Abnormal
101,Abnormal
102,Abnormal
103,Abnormal
104,Abnormal
105,Abnormal
106,Abnormal
107,Abnormal
108,Abnormal
109,Abnormal
110,Abnormal
111,Abnormal
112,Abnormal
113,Abnormal
114,Abnormal
115,Abnormal
116,Abnormal
117,Abnormal
118,Abnormal
119,Abnormal
120,Abnormal
121,Abnormal
122,Abnormal
123,Abnormal
124,Abnormal
125,Abnormal
126,Abnormal
127,Abnormal
128,Abnormal
129,Abnormal
130,Abnormal
131,Abnormal
132,Abnormal
133,Abnormal
134,Abnormal
135,Abnormal
136,Abnormal
137,Abnormal
138,Abnormal
139,Abnormal
140,Abnormal
141,Abnormal
142,Abnormal
143,Abnormal
144,Abnormal
145,Abnormal
146,Abnormal
147,Abnormal
148,Abnormal
149,Abnormal
150,Abnormal
151,Abnormal
152,Abnormal
153,Abnormal
154,Abnormal
155,Abnormal
156,Abnormal
157,Abnormal
158,Abnormal
159,Abnormal
160,Abnormal
161,Abnormal
162,Abnormal
163,Abnormal
164,Abnormal
165,Abnormal
166,Abnormal
167,Abnormal
168,Abnormal
169,Abnormal
170,Abnormal
171,Abnormal
172,Abnormal
173,Abnormal
174,Abnormal
175,Abnormal
176,Abnormal
177,Abnormal
178,Abnormal
179,Abnormal
180,Abnormal
181,Abnormal
182,Abnormal
183,Abnormal
184,Abnormal
185,Abnormal
186,Abnormal
187,Abnormal
188,Abnormal
189,Abnormal
190,Abnormal
191,Abnormal
192,Abnormal
193,Abnormal
194,Abnormal
195,Abnormal
196,Abnormal
197,Abnormal
198,Abnormal
199,Abnormal
200,Abnormal
201,Abnormal
202,Abnormal
203,Abnormal
204,Abnormal
205,Abnormal
206,Abnormal
207,Abnormal
208,Abnormal
209,Abnormal
210,Abnormal
211,Abnormal
212,Abnormal
213,Abnormal
214,Abnormal
215,Abnormal
216,Abnormal
217,Abnormal
218,Abnormal
219,Abnormal
220,Abnormal
221,Abnormal
222,Abnormal
223,Abnormal
224,Abnormal
225,Abnormal
226,Abnormal
227,Abnormal
228,Abnormal
229,Abnormal
230,Abnormal
231,Abnormal
232,Abnormal
233,Abnormal
234,Abnormal
235,Abnormal
236,Abnormal
237,Abnormal
238,Abnormal
239,Abnormal
240,Abnormal
241,Abnormal
242,Abnormal
243,Abnormal
244,Abnormal
245,Abnormal
246,Abnormal
247,Abnormal
248,Abnormal
249,Abnormal
250,Abnormal
251,Abnormal
252,Abnormal
253,Abnormal
254,Abnormal
255,Abnormal
256,Abnormal
